timestamp, frame, x, y, z, qx, qy, qz, qw
21145.302620708, 000169, 0.5415335, 0.21619523, 1.0114413, -0.2278791, 0.074768566, -0.96906763, 0.0582129
21145.369292791, 000170, 0.54326135, 0.23290285, 1.0359002, -0.22702175, 0.073322125, -0.96933514, 0.058943592
21145.435964791, 000171, 0.5441179, 0.24964479, 1.0590075, -0.22553514, 0.07154592, -0.9697627, 0.059795003
21145.502636833, 000172, 0.5442639, 0.2633362, 1.0801605, -0.22396466, 0.070094466, -0.97016597, 0.060866017
21145.569308791, 000173, 0.5441394, 0.2766791, 1.1015304, -0.22201018, 0.06879392, -0.97059655, 0.06262005
21145.635980875, 000174, 0.5428173, 0.28815764, 1.121165, -0.2199714, 0.067604914, -0.9710146, 0.06459761
21145.702652833, 000175, 0.54146814, 0.29813105, 1.1391994, -0.21819429, 0.067018025, -0.97136724, 0.06592156
21145.769324791, 000176, 0.5394318, 0.30625317, 1.1565932, -0.21681903, 0.06667886, -0.97162306, 0.067023575
21145.835996791, 000177, 0.53620064, 0.31322977, 1.1751784, -0.2158333, 0.06695869, -0.9717309, 0.0683498
21145.902668916, 000178, 0.5320216, 0.31689385, 1.1930643, -0.21471663, 0.06685868, -0.971937, 0.069030456
21145.969340958, 000179, 0.5258089, 0.31970185, 1.2125748, -0.21427692, 0.06701592, -0.9719768, 0.06968065
21146.036012958, 000180, 0.5180975, 0.32336912, 1.2319988, -0.2137295, 0.06715597, -0.9720359, 0.070399486
21146.102684958, 000181, 0.5095249, 0.32990003, 1.2518157, -0.21307048, 0.06728396, -0.97212964, 0.07097814
21146.169356958, 000182, 0.5000153, 0.3399163, 1.2710242, -0.2128986, 0.06755484, -0.97214967, 0.070961356
21146.236029083, 000183, 0.48982295, 0.3541587, 1.2914934, -0.2122027, 0.06719264, -0.972303, 0.07128936
21146.302701041, 000184, 0.47974345, 0.37221453, 1.310441, -0.21266052, 0.06764632, -0.9721821, 0.07114414
21146.369372958, 000185, 0.47093585, 0.3921364, 1.3269767, -0.21245566, 0.06741155, -0.9722447, 0.071123585
21146.436045041, 000186, 0.46272963, 0.41312778, 1.3444308, -0.2126983, 0.067578405, -0.97218835, 0.07101138
21146.502717041, 000187, 0.45574418, 0.43212217, 1.361039, -0.2126948, 0.06737814, -0.9721626, 0.07156092
21146.569389125, 000188, 0.44994888, 0.44886136, 1.3766607, -0.21356286, 0.06761442, -0.9719502, 0.07163847
21146.636061083, 000189, 0.44582328, 0.46199727, 1.3915753, -0.21425584, 0.06811419, -0.9717209, 0.07220445
21146.702733041, 000190, 0.44306695, 0.47152266, 1.4075333, -0.21525532, 0.06905547, -0.97139215, 0.07275948
21146.769405208, 000191, 0.44169974, 0.4778856, 1.4239378, -0.21652392, 0.070008874, -0.9710334, 0.07287211
21146.836077166, 000192, 0.44114578, 0.48221198, 1.4412978, -0.21786791, 0.071445525, -0.97056586, 0.073695496
21146.902749083, 000193, 0.4404224, 0.48688644, 1.4616791, -0.21934861, 0.073050015, -0.9700723, 0.07422663
21146.969421208, 000194, 0.44153103, 0.4923056, 1.4815176, -0.22067061, 0.07410444, -0.9696825, 0.07435595
21147.036093166, 000195, 0.4433114, 0.5000728, 1.5015166, -0.22226156, 0.07491308, -0.9692321, 0.074679315
21147.10276525, 000196, 0.44590318, 0.5112721, 1.5221039, -0.22363362, 0.07575556, -0.9688486, 0.07471038
21147.16943725, 000197, 0.44912726, 0.5253599, 1.5437611, -0.22480524, 0.076465294, -0.9685208, 0.07472143
21147.23610925, 000198, 0.45156774, 0.54345316, 1.567656, -0.22603652, 0.07698128, -0.9681641, 0.07509792
21147.302781291, 000199, 0.45293394, 0.56299895, 1.5909029, -0.22690691, 0.07683238, -0.9679604, 0.07525132
21147.36945325, 000200, 0.4524825, 0.5826001, 1.6122804, -0.22707291, 0.07674052, -0.9679008, 0.07561014
21147.436125333, 000201, 0.45007297, 0.6018414, 1.6320188, -0.22715111, 0.07699347, -0.9678601, 0.07563845
21147.502797333, 000202, 0.44638345, 0.6192059, 1.6514413, -0.2274242, 0.07741665, -0.96776634, 0.07558564
21147.569469416, 000203, 0.4415935, 0.63344735, 1.6715199, -0.2270117, 0.07789701, -0.9677941, 0.07597597
21147.636141416, 000204, 0.43541268, 0.64259124, 1.6913606, -0.22673805, 0.07804387, -0.96782005, 0.07631166
21147.702813416, 000205, 0.42957404, 0.64786917, 1.7115465, -0.22618678, 0.07891824, -0.9678991, 0.07604485
21147.769485416, 000206, 0.4229399, 0.65141857, 1.7338228, -0.2257711, 0.08002279, -0.96788967, 0.07624546
21147.8361575, 000207, 0.4141246, 0.6545561, 1.7580206, -0.22452493, 0.0808927, -0.96806, 0.07684281
21147.9028295, 000208, 0.4024335, 0.65976244, 1.7843935, -0.22334965, 0.08223184, -0.9682012, 0.07706755
21147.969501541, 000209, 0.3900274, 0.66707885, 1.8084766, -0.22190893, 0.08373079, -0.9683965, 0.07716176
21148.036173583, 000210, 0.37775937, 0.67764235, 1.830257, -0.21981525, 0.08536418, -0.9687297, 0.077182315
21148.102845583, 000211, 0.36427602, 0.6926625, 1.8537831, -0.21736644, 0.08826185, -0.96899533, 0.077523224
